ID,Name,Age,Salary,Joining_Date,Department,Is_Active,Constant_Column,Empty_Column
USR_1000,  User_0  ,58.0,999999.0,2026-12-01,Engineering,False,Active,
USR_1001,User_1,26.0,999999.0,N/A,Sales,,Active,
USR_1002,User_2,45.0,33905.0,12/08/2020,Engineering,,Active,
USR_1003,User_3,56.0,103563.0,N/A,HR,False,Active,
USR_1004,User_4,-5.0,136093.0,12/08/2020,,No,Active,
USR_1005,User_5,-5.0,50379.0,2026-12-01,Sales,True,Active,
USR_1006,User_6,42.0,,N/A,Marketing,True,Active,
USR_1007,User_7,120.0,100284.0,,Sales,,Active,
USR_1008,User_8,-5.0,105674.0,2021-05-15,Sales,False,Active,
USR_1009,User_9,-5.0,40458.0,2021-05-15,HR,Yes,Active,
USR_1010,  User_10  ,-5.0,,2026-12-01,Engineering,Yes,Active,
USR_1011,User_11,62.0,999999.0,12/08/2020,Sales,False,Active,
USR_1012,User_12,120.0,,N/A,Engineering,Yes,Active,
USR_1013,User_13,71.0,60021.0,2026-12-01,HR,Yes,Active,
USR_1014,User_14,,999999.0,2026-12-01,Engineering,No,Active,
USR_1015,User_15,120.0,,12/08/2020,Engineering,,Active,
USR_1016,User_16,-5.0,999999.0,,Sales,No,Active,
USR_1017,User_17,,999999.0,,Sales,True,Active,
USR_1018,User_18,73.0,999999.0,12/08/2020,   ,No,Active,
USR_1019,User_19,56.0,,N/A,HR,,Active,
USR_1020,  User_20  ,34.0,999999.0,2021-05-15,,,Active,
USR_1021,User_21,-5.0,999999.0,2026-12-01,Sales,Yes,Active,
USR_1022,User_22,,89470.0,2026-12-01,Sales,False,Active,
USR_1023,User_23,50.0,999999.0,2026-12-01,   ,,Active,
USR_1024,User_24,,,12/08/2020,Sales,,Active,
USR_1025,User_25,-5.0,94042.0,2021-05-15,Marketing,Yes,Active,
USR_1026,User_26,33.0,999999.0,2021-05-15,Sales,No,Active,
USR_1027,User_27,70.0,999999.0,12/08/2020,Engineering,No,Active,
USR_1028,User_28,,999999.0,N/A,HR,False,Active,
USR_1029,User_29,,,,,Yes,Active,
USR_1030,  User_30  ,120.0,45860.0,12/08/2020,Sales,Yes,Active,
USR_1031,User_31,,107128.0,2021-05-15,Sales,True,Active,
USR_1032,User_32,32.0,148675.0,2026-12-01,Sales,,Active,
USR_1033,User_33,-5.0,,12/08/2020,Sales,False,Active,
USR_1034,User_34,120.0,,,Engineering,True,Active,
USR_1035,User_35,120.0,,,HR,True,Active,
USR_1036,User_36,61.0,,2026-12-01,   ,True,Active,
USR_1037,User_37,,999999.0,,Engineering,No,Active,
USR_1038,User_38,-5.0,90637.0,2021-05-15,HR,,Active,
USR_1039,User_39,24.0,999999.0,2021-05-15,Sales,False,Active,
USR_1040,  User_40  ,120.0,,12/08/2020,   ,No,Active,
USR_1041,User_41,75.0,,2021-05-15,HR,Yes,Active,
USR_1042,User_42,120.0,,N/A,,No,Active,
USR_1043,User_43,,68890.0,2021-05-15,Sales,,Active,
USR_1044,User_44,-5.0,37492.0,N/A,HR,,Active,
USR_1045,User_45,,999999.0,2021-05-15,   ,False,Active,
USR_1046,User_46,22.0,118501.0,,Sales,,Active,
USR_1047,User_47,33.0,111183.0,,,,Active,
USR_1048,User_48,-5.0,64179.0,2026-12-01,Engineering,Yes,Active,
USR_1049,User_49,,999999.0,2026-12-01,HR,Yes,Active,
USR_1050,  User_50  ,66.0,,N/A,Sales,True,Active,
USR_1051,User_51,,,12/08/2020,Marketing,True,Active,
USR_1052,User_52,,,12/08/2020,HR,,Active,
USR_1053,User_53,-5.0,999999.0,N/A,Sales,,Active,
USR_1054,User_54,37.0,145097.0,2026-12-01,Sales,True,Active,
USR_1055,User_55,,,N/A,Engineering,Yes,Active,
USR_1056,User_56,-5.0,,2026-12-01,   ,True,Active,
USR_1057,User_57,120.0,,2021-05-15,Sales,Yes,Active,
USR_1058,User_58,,,12/08/2020,,No,Active,
USR_1059,User_59,120.0,103519.0,2021-05-15,Sales,False,Active,
USR_1060,  User_60  ,52.0,,N/A,Sales,False,Active,
USR_1061,User_61,,,2026-12-01,   ,True,Active,
USR_1062,User_62,-5.0,999999.0,12/08/2020,,True,Active,
USR_1063,User_63,120.0,999999.0,12/08/2020,Engineering,False,Active,
USR_1064,User_64,,,2021-05-15,Engineering,Yes,Active,
USR_1065,User_65,120.0,999999.0,12/08/2020,Marketing,False,Active,
USR_1066,User_66,68.0,80140.0,,Engineering,False,Active,
USR_1067,User_67,120.0,,12/08/2020,Engineering,True,Active,
USR_1068,User_68,,,2026-12-01,   ,True,Active,
USR_1069,User_69,-5.0,999999.0,N/A,HR,,Active,
USR_1070,  User_70  ,39.0,,12/08/2020,Sales,Yes,Active,
USR_1071,User_71,20.0,,2026-12-01,,Yes,Active,
USR_1072,User_72,45.0,999999.0,12/08/2020,Marketing,True,Active,
USR_1073,User_73,120.0,999999.0,N/A,,False,Active,
USR_1074,User_74,120.0,999999.0,2026-12-01,Sales,Yes,Active,
USR_1075,User_75,60.0,,N/A,Marketing,No,Active,
USR_1076,User_76,120.0,,N/A,Engineering,False,Active,
USR_1077,User_77,120.0,999999.0,12/08/2020,Sales,,Active,
USR_1078,User_78,120.0,101819.0,2026-12-01,Marketing,False,Active,
USR_1079,User_79,-5.0,,,,False,Active,
USR_1080,  User_80  ,120.0,999999.0,12/08/2020,,True,Active,
USR_1081,User_81,-5.0,42240.0,2026-12-01,Engineering,False,Active,
USR_1082,User_82,27.0,36057.0,,Sales,True,Active,
USR_1083,User_83,120.0,999999.0,N/A,Engineering,No,Active,
USR_1084,User_84,120.0,61979.0,2021-05-15,   ,True,Active,
USR_1085,User_85,120.0,58683.0,N/A,HR,True,Active,
USR_1086,User_86,,141193.0,,Engineering,No,Active,
USR_1087,User_87,-5.0,,N/A,   ,,Active,
USR_1088,User_88,120.0,147598.0,,HR,Yes,Active,
USR_1089,User_89,,999999.0,2026-12-01,   ,,Active,
USR_1090,  User_90  ,,,2021-05-15,,Yes,Active,
USR_1091,User_91,-5.0,,N/A,Sales,False,Active,
USR_1092,User_92,,999999.0,12/08/2020,,False,Active,
USR_1093,User_93,120.0,,N/A,HR,No,Active,
USR_1094,User_94,,,,   ,,Active,
USR_1095,User_95,62.0,999999.0,,HR,True,Active,
USR_1096,User_96,-5.0,,,Sales,,Active,
USR_1097,User_97,,93993.0,2026-12-01,HR,No,Active,
USR_1098,User_98,120.0,999999.0,,,False,Active,
USR_1099,User_99,120.0,999999.0,N/A,Sales,No,Active,
USR_1100,  User_100  ,55.0,999999.0,,Engineering,No,Active,
USR_1101,User_101,29.0,,2026-12-01,Engineering,No,Active,
USR_1102,User_102,-5.0,,2026-12-01,   ,No,Active,
USR_1103,User_103,34.0,91644.0,N/A,Sales,Yes,Active,
USR_1104,User_104,32.0,999999.0,2021-05-15,   ,True,Active,
USR_1105,User_105,,139999.0,N/A,Engineering,False,Active,
USR_1106,User_106,120.0,117747.0,N/A,Engineering,No,Active,
USR_1107,User_107,-5.0,,12/08/2020,Sales,,Active,
USR_1108,User_108,65.0,131946.0,2026-12-01,Sales,,Active,
USR_1109,User_109,-5.0,999999.0,,HR,False,Active,
USR_1110,  User_110  ,,999999.0,2026-12-01,   ,,Active,
USR_1111,User_111,69.0,999999.0,2021-05-15,Marketing,,Active,
USR_1112,User_112,-5.0,999999.0,2026-12-01,Sales,No,Active,
USR_1113,User_113,120.0,,2026-12-01,,No,Active,
USR_1114,User_114,,87080.0,N/A,,Yes,Active,
USR_1115,User_115,120.0,,N/A,Marketing,Yes,Active,
USR_1116,User_116,,138885.0,2026-12-01,HR,False,Active,
USR_1117,User_117,120.0,999999.0,,Marketing,True,Active,
USR_1118,User_118,-5.0,,12/08/2020,Marketing,Yes,Active,
USR_1119,User_119,-5.0,999999.0,2026-12-01,Sales,True,Active,
USR_1120,  User_120  ,,41221.0,,HR,,Active,
USR_1121,User_121,,,,HR,True,Active,
USR_1122,User_122,-5.0,,12/08/2020,Marketing,,Active,
USR_1123,User_123,120.0,999999.0,2026-12-01,HR,,Active,
USR_1124,User_124,-5.0,,2026-12-01,Marketing,Yes,Active,
USR_1125,User_125,32.0,124540.0,2026-12-01,Sales,,Active,
USR_1126,User_126,,55105.0,,Marketing,,Active,
USR_1127,User_127,-5.0,43176.0,2026-12-01,Engineering,Yes,Active,
USR_1128,User_128,-5.0,999999.0,N/A,Engineering,Yes,Active,
USR_1129,User_129,20.0,,12/08/2020,,No,Active,
USR_1130,  User_130  ,24.0,,,HR,No,Active,
USR_1131,User_131,,,,Sales,True,Active,
USR_1132,User_132,120.0,999999.0,2021-05-15,Engineering,False,Active,
USR_1133,User_133,-5.0,41164.0,2021-05-15,Sales,No,Active,
USR_1134,User_134,,999999.0,,HR,No,Active,
USR_1135,User_135,120.0,999999.0,N/A,Sales,,Active,
USR_1136,User_136,65.0,129973.0,12/08/2020,Marketing,True,Active,
USR_1137,User_137,,999999.0,2021-05-15,Engineering,True,Active,
USR_1138,User_138,120.0,999999.0,,Marketing,True,Active,
USR_1139,User_139,-5.0,,,Sales,False,Active,
USR_1140,  User_140  ,,85723.0,N/A,Engineering,False,Active,
USR_1141,User_141,,39359.0,12/08/2020,   ,Yes,Active,
USR_1142,User_142,-5.0,87560.0,,,Yes,Active,
USR_1143,User_143,120.0,999999.0,N/A,HR,No,Active,
USR_1144,User_144,23.0,,2026-12-01,Sales,Yes,Active,
USR_1145,User_145,19.0,999999.0,N/A,Sales,True,Active,
USR_1146,User_146,-5.0,105529.0,12/08/2020,HR,,Active,
USR_1147,User_147,120.0,66458.0,N/A,HR,No,Active,
USR_1148,User_148,120.0,,2026-12-01,Marketing,True,Active,
USR_1149,User_149,,,,Marketing,No,Active,
USR_1150,  User_150  ,70.0,89614.0,2026-12-01,Marketing,Yes,Active,
USR_1151,User_151,120.0,999999.0,2021-05-15,,,Active,
USR_1152,User_152,120.0,37104.0,N/A,Marketing,,Active,
USR_1153,User_153,120.0,,2021-05-15,Engineering,Yes,Active,
USR_1154,User_154,,,,Sales,True,Active,
USR_1155,User_155,,123032.0,2026-12-01,Sales,True,Active,
USR_1156,User_156,120.0,42217.0,2021-05-15,HR,True,Active,
USR_1157,User_157,,999999.0,2026-12-01,Sales,Yes,Active,
USR_1158,User_158,120.0,91894.0,,Sales,False,Active,
USR_1159,User_159,,999999.0,12/08/2020,   ,True,Active,
USR_1160,  User_160  ,120.0,999999.0,2026-12-01,   ,True,Active,
USR_1161,User_161,-5.0,999999.0,N/A,,No,Active,
USR_1162,User_162,,999999.0,,Marketing,Yes,Active,
USR_1163,User_163,120.0,,12/08/2020,,False,Active,
USR_1164,User_164,120.0,,2021-05-15,Marketing,No,Active,
USR_1165,User_165,120.0,999999.0,12/08/2020,HR,True,Active,
USR_1166,User_166,-5.0,143993.0,,Sales,,Active,
USR_1167,User_167,47.0,124692.0,,   ,False,Active,
USR_1168,User_168,120.0,,2026-12-01,Sales,No,Active,
USR_1169,User_169,59.0,,N/A,HR,Yes,Active,
USR_1170,  User_170  ,120.0,999999.0,2021-05-15,Sales,True,Active,
USR_1171,User_171,-5.0,999999.0,2021-05-15,HR,True,Active,
USR_1172,User_172,66.0,88153.0,2026-12-01,Sales,True,Active,
USR_1173,User_173,38.0,,2026-12-01,HR,False,Active,
USR_1174,User_174,120.0,999999.0,12/08/2020,Engineering,False,Active,
USR_1175,User_175,120.0,999999.0,12/08/2020,HR,,Active,
USR_1176,User_176,,999999.0,2026-12-01,HR,Yes,Active,
USR_1177,User_177,60.0,,2026-12-01,,,Active,
USR_1178,User_178,28.0,,N/A,Marketing,No,Active,
USR_1179,User_179,-5.0,,12/08/2020,HR,No,Active,
USR_1180,  User_180  ,,999999.0,2026-12-01,Sales,Yes,Active,
USR_1181,User_181,-5.0,999999.0,,Marketing,True,Active,
USR_1182,User_182,54.0,999999.0,,   ,Yes,Active,
USR_1183,User_183,,,12/08/2020,,False,Active,
USR_1184,User_184,-5.0,999999.0,12/08/2020,,True,Active,
USR_1185,User_185,75.0,,2021-05-15,Sales,Yes,Active,
USR_1186,User_186,,,2026-12-01,,No,Active,
USR_1187,User_187,,999999.0,2026-12-01,Sales,,Active,
USR_1188,User_188,,,2026-12-01,,Yes,Active,
USR_1189,User_189,69.0,91385.0,12/08/2020,   ,False,Active,
USR_1190,  User_190  ,120.0,999999.0,2026-12-01,Sales,No,Active,
USR_1191,User_191,-5.0,100329.0,,Marketing,Yes,Active,
USR_1192,User_192,120.0,999999.0,2026-12-01,Sales,False,Active,
USR_1193,User_193,48.0,999999.0,2026-12-01,Sales,False,Active,
USR_1194,User_194,59.0,,2026-12-01,,No,Active,
USR_1195,User_195,,35943.0,2026-12-01,HR,True,Active,
USR_1196,User_196,,999999.0,12/08/2020,HR,No,Active,
USR_1197,User_197,120.0,999999.0,12/08/2020,HR,True,Active,
USR_1198,User_198,120.0,,2026-12-01,Sales,Yes,Active,
USR_1199,User_199,120.0,88287.0,2026-12-01,Sales,Yes,Active,
USR_1005,User_5,-5.0,50379.0,2026-12-01,Sales,True,Active,
USR_1012,User_12,120.0,,N/A,Engineering,Yes,Active,
USR_1045,User_45,,999999.0,2021-05-15,   ,False,Active,
USR_1090,  User_90  ,,,2021-05-15,,Yes,Active,
USR_1120,  User_120  ,,41221.0,,HR,,Active,
